step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,251,0,104,29,280,0,1022.0,4.0717131474103585,6.8497662482538235,5,45.0,0.4949910285442685,4,41.0,0.5421431598265141,3,31.0,0.5485627897340998,12,110.0,0.18866232936712277,5,37.0,0.4543286948141882,6,64.0,0.36617202366968254,3,39.0,0.5950360272494076,13,131.0,0.2225055601663255,8,111.0,0.36385773755260975,9,105.0,0.3893673647011165,6,55.0,0.6039491754756329,4,46.0,0.6492823577316471,6,63.0,0.5684910713696891,10,87.0,0.4637570142483709,5,40.0,0.49367091730730006,5,49.0,0.25291197017274347,104,1054.0
110.0,265,0,111,31,296,0,1568.0,5.916981132075471,6.9310624326901396,7,71.0,0.44821748271535106,4,59.0,0.4172087349947993,3,46.0,0.6016041070107211,12,170.0,0.34433882319274134,7,69.0,0.3906583961073392,6,94.0,0.4086941996257229,3,52.0,0.5272903995382066,13,196.0,0.21850150813355723,8,140.0,0.324032195737092,9,141.0,0.2766199114072244,7,89.0,0.566872253444987,4,66.0,0.6386696929765061,6,93.0,0.5341802726716838,10,137.0,0.43723708777605735,7,71.0,0.5105780238371591,5,74.0,0.5308423690608234,111,1568.0
115.0,275,0,119,37,312,0,2149.0,7.8145454545454545,6.8226128149117855,9,112.0,0.41160739364160903,4,79.0,0.47705735429534424,3,61.0,0.6797262735727199,12,230.0,0.3983439445342761,9,109.0,0.41799930923048906,6,124.0,0.35230765428407884,3,67.0,0.4829048526518825,13,261.0,0.2282165976661306,8,180.0,0.36942558524805863,9,186.0,0.2921277865548117,10,134.0,0.5065579992243537,4,86.0,0.5558394683891442,6,123.0,0.5017982597289473,10,187.0,0.41539243851099916,8,111.0,0.5215680401515046,5,99.0,0.6087834400733746,119,2149.0
120.0,273,0,127,47,320,0,2771.0,10.15018315018315,6.436902373930353,11,163.0,0.36110281615486806,4,99.0,0.4179585744460016,3,76.0,0.7036288882528716,12,290.0,0.4255041888671127,11,159.0,0.39750859893519724,6,154.0,0.35857713605610747,3,82.0,0.5418965749991976,13,326.0,0.2255447978429244,8,220.0,0.25530285880143566,9,231.0,0.24165756450119802,11,188.0,0.382978710368848,4,106.0,0.5129773633066933,6,153.0,0.4315849293087384,10,237.0,0.34669204644976515,11,163.0,0.4791662275831113,5,124.0,0.6109242335368327,127,2771.0
125.0,284,0,135,52,336,0,3425.0,12.059859154929578,6.272120476130645,13,221.0,0.2995719320986688,4,119.0,0.4743776481147453,3,91.0,0.6470187620873725,12,350.0,0.4048236357846276,13,219.0,0.37406086575989267,6,184.0,0.5110976320413193,3,97.0,0.6241369085439432,13,391.0,0.30449328598791203,8,260.0,0.3251631435788102,9,276.0,0.2909647923824856,14,251.0,0.2860107954428305,4,126.0,0.45221244764506485,6,183.0,0.29538885094412237,10,287.0,0.302336360731993,12,221.0,0.48368524441385063,5,149.0,0.585945658856145,135,3425.0
130.0,289,0,141,63,352,0,4121.0,14.259515570934257,6.153022603079324,14,289.0,0.30159315989106456,4,139.0,0.4794161344764662,3,106.0,0.6112698086895146,12,410.0,0.3857838847352107,14,288.0,0.4041142737175605,6,214.0,0.5656089745409671,3,112.0,0.6781139952246927,13,456.0,0.40520635501417335,8,300.0,0.32108499076193947,9,321.0,0.2937814960322885,15,325.0,0.2709526642972771,4,146.0,0.5059727319947254,6,213.0,0.3839246327254903,10,337.0,0.26750358587361356,15,291.0,0.3966304071173661,5,174.0,0.5017926627816555,141,4121.0
135.0,289,0,73,71,360,0,1557.0,5.387543252595155,5.2104232716919485,11,279.0,0.23749527703602719,0,75.0,0.6669282565156598,3,123.0,0.4021402569194887,7,377.0,0.30443497155812776,10,274.0,0.358860197888795,0,152.0,0.433632596433794,1,42.0,0.6108214868423818,9,432.0,0.2675749663942732,2,247.0,0.45206479930447224,3,275.0,0.34343400642043004,11,313.0,0.22462281841356846,1,81.0,0.46207764984018684,0,154.0,0.5206773858924244,4,297.0,0.27936561768548684,11,281.0,0.24081590525882426,0,113.0,0.3326575321879863,73,3515.0
140.0,297,0,68,79,376,0,242.0,0.8148148148148148,6.041030860936352,4,187.0,0.36442400406248243,1,6.0,0.7426361181329252,5,19.0,0.40251839383182547,7,246.0,0.20257683056305753,4,179.0,0.23835887287763968,7,26.0,0.33660804387148024,6,23.0,0.3643993329513549,7,306.0,0.28612026362579607,2,84.0,0.6713988027132557,2,85.0,0.6956074990976154,4,209.0,0.31168389662674695,2,15.0,0.5646418411767202,1,6.0,0.6144493899945377,1,153.0,0.6858523151964339,9,201.0,0.18656253167687573,6,24.0,0.41827025732721973,68,1769.0
145.0,311,0,113,81,392,0,660.0,2.122186495176849,6.914415276577769,5,78.0,0.44540869639223357,3,16.0,0.7041722891480857,8,53.0,0.36543176516474646,12,73.0,0.1960692266745638,8,81.0,0.28614631394264745,13,80.0,0.39502345168947745,11,65.0,0.2669971387407235,12,121.0,0.19385687950759348,4,20.0,0.5824773084078624,5,31.0,0.641665022136726,2,80.0,0.39973051335928467,5,33.0,0.6501017442958785,4,20.0,0.45880683485415824,3,16.0,0.6210679848063463,10,119.0,0.27602451980037684,8,59.0,0.5064489921045674,113,945.0
150.0,303,0,123,97,400,0,1260.0,4.158415841584159,7.043161863759331,6,62.0,0.49772252566922387,5,34.0,0.641181634311977,8,89.0,0.3646042144478612,12,133.0,0.2756467021135921,9,86.0,0.36456870140620384,13,143.0,0.4216212948619093,14,129.0,0.2678617002723079,12,140.0,0.18214054966591822,5,39.0,0.49119816965454594,6,55.0,0.5432278455963547,3,40.0,0.5283345906971032,5,54.0,0.6078111606917671,4,36.0,0.406863528605459,3,27.0,0.6194988881105759,10,126.0,0.3485355463284009,8,97.0,0.5045777123383983,123,1290.0
155.0,301,0,131,115,416,0,1896.0,6.299003322259137,6.776950620126874,8,89.0,0.4390994414380415,7,66.0,0.5369538495652387,8,129.0,0.46452865737547305,12,192.0,0.23654623425550758,9,127.0,0.276179759001694,13,208.0,0.38290011607651064,14,199.0,0.2831771735898204,12,200.0,0.3165570884453308,7,69.0,0.5316151309594396,8,90.0,0.41066883262132947,3,42.0,0.5915954655551401,5,79.0,0.5817491393752893,4,56.0,0.6153204183624673,3,42.0,0.502823103594217,10,171.0,0.25834861533865444,8,137.0,0.531876198680652,131,1896.0
160.0,302,0,139,130,432,0,2571.0,8.513245033112582,6.511935383592406,10,133.0,0.4070921620197548,9,107.0,0.49315984521644507,8,169.0,0.47911059575090115,12,252.0,0.2558393954328269,9,172.0,0.28895451618115164,13,273.0,0.382089180570904,14,269.0,0.3794474385102494,12,260.0,0.30000840564083536,9,110.0,0.5543618793977149,10,134.0,0.3776197267693929,3,57.0,0.5533910629061363,5,104.0,0.5763326463527444,4,76.0,0.6617955441528488,3,57.0,0.58433845993174,10,221.0,0.27549008395635394,8,177.0,0.4737800460167082,139,2571.0
165.0,298,0,145,142,440,0,3281.0,11.01006711409396,6.124274715637796,12,188.0,0.33965999489380255,10,155.0,0.3770947517919393,8,209.0,0.49529739591230115,12,312.0,0.33655768181824425,9,217.0,0.23640363527630423,13,338.0,0.30618402839782943,14,339.0,0.3918956072466144,12,320.0,0.29115390693820736,10,158.0,0.47494278699458253,12,188.0,0.3981694671392429,3,72.0,0.47694473798990583,5,129.0,0.529712602163965,4,96.0,0.6399508880138054,3,72.0,0.5852749598473783,10,271.0,0.21972692308260092,8,217.0,0.3992476929721785,145,3281.0
